company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
facebook1,output037,-1.0,10.0,-0.1184257864952087,10.0,0.220942983632279,10:22:39
facebook1,output038,-0.9803921568627452,51.0,-0.1999978840351104,10.0,0.0318858371969252,10:23:39
facebook1,output039,-0.5,6.0,0.3343325389756096,18.0,0.0766440576255195,10:24:39
facebook1,output040,-1.0,22.0,0.768226703008016,9.0,0.0140424231817932,10:25:39
facebook1,output041,-0.8421052631578947,19.0,0.0110066652297973,10.0,-0.0996767213855857,10:26:39
facebook1,output042,-1.0,36.0,0.1828609704971313,27.0,0.0687456967318617,10:27:39
facebook1,output043,-0.25,4.0,0.3049968163172404,15.0,0.0131416756763985,10:28:39
facebook1,output044,-0.8571428571428571,7.0,0.4184870038713728,7.0,0.0428148277774929,10:29:39
facebook1,output045,-0.8387096774193549,31.0,-0.0133523344993591,12.0,0.1140256119283504,10:30:39
facebook1,output046,-0.7,20.0,-0.6620402137438456,6.0,-0.1557968175933073,10:31:39
facebook1,output047,-0.6666666666666666,9.0,-0.1048536896705628,9.0,0.0344448175228424,10:32:39
facebook1,output048,,,-0.2750056460499763,8.0,0.1092991139169764,10:33:39
facebook1,output049,-1.0,58.0,-0.1707406859648854,19.0,0.025593553682324,10:34:39
facebook1,output050,-1.0,9.0,0.2260391513506571,12.0,0.0442205155808537,10:35:39
facebook1,output051,-1.0,27.0,-0.1189908757805824,16.0,-0.0011622002889496,10:36:39
facebook1,output052,,,-0.5425954014062881,8.0,-0.0168926287694689,10:37:39
facebook1,output053,-0.1538461538461538,13.0,0.5864398495147104,38.0,0.0391222958620217,10:38:39
facebook1,output054,-0.375,16.0,0.232589840888977,25.0,0.0145263636906115,10:39:39
facebook1,output055,-0.5652173913043478,23.0,-0.4449708121163504,7.0,0.0918713692010119,10:40:39
facebook1,output056,-0.6153846153846154,13.0,0.3901877247768899,23.0,-0.0893825789581905,10:41:39
facebook1,output057,-1.0,15.0,0.0584820454770868,11.0,0.045785364545192,10:42:39
facebook1,output058,-1.0,49.0,0.0273045053084691,12.0,-0.0274935762683239,10:43:39
facebook1,output059,-1.0,36.0,-0.3682229876518249,10.0,-0.0930868280339145,10:44:39
facebook1,output060,-0.96875,64.0,-0.562699642446306,9.0,-0.0587683560300656,10:45:39
facebook1,output061,-1.0,11.0,0.4211006655412562,17.0,0.0143717422669119,10:46:39
facebook1,output062,-0.7692307692307693,13.0,-0.6637045542399088,6.0,0.0215498061082149,10:47:39
facebook1,output063,-0.6,15.0,-0.6600121160348257,6.0,0.0025163718858927,10:48:39
facebook1,output064,0.0,1.0,-0.2035458207130432,5.0,-0.142782317240925,10:49:39
facebook1,output065,-0.6071428571428571,28.0,-0.1703295826911926,5.0,0.0717280092536877,10:50:39
facebook1,output066,-0.75,8.0,-0.2181382700800895,16.0,-0.028674471298962,10:51:39
facebook1,output067,-1.0,4.0,0.0174704790115356,4.0,0.0771924562859127,10:52:39
facebook1,output068,-1.0,28.0,-0.2892832689815097,9.0,-0.03034896599728,10:53:39
facebook1,output069,-1.0,51.0,0.0973358835492815,7.0,-0.0089976311173698,10:54:39
facebook1,output070,-1.0,7.0,-0.0216339886188507,10.0,0.1112231205480628,10:55:39
facebook1,output071,-1.0,10.0,0.3222387387202336,13.0,0.0601820936938963,10:56:39
facebook1,output072,-0.3333333333333333,3.0,-0.1652854740619659,10.0,0.00205608092985,10:57:39
facebook1,output073,,,0.1617066834283911,23.0,-0.1182209191805073,10:58:39
facebook1,output074,-0.5,2.0,-0.4262609034776688,4.0,-0.0998195636484536,10:59:39
facebook1,output075,,,0.5733393838531092,19.0,-0.140130363717516,11:00:39
facebook1,output076,-1.0,19.0,0.6057083010673523,7.0,-0.0067067499998316,11:01:39
facebook1,output077,,,0.301167572538058,12.0,0.173807309945296,11:02:39
facebook1,output078,-0.75,8.0,-0.1103956049138849,11.0,0.0561505277003839,11:03:39
facebook1,output079,-1.0,16.0,-0.0631734270315904,13.0,-0.0600140531270699,11:04:39
facebook1,output080,-1.0,1.0,0.2975274443626404,15.0,0.0714318728153041,11:05:39
facebook1,output081,-1.0,1.0,0.1912750949462255,12.0,0.0142656089037204,11:06:39
facebook1,output082,0.0,1.0,0.1553665910448347,28.0,0.0072651394598245,11:07:39
facebook1,output083,,,0.039967105502174,21.0,0.1261841638606996,11:08:39
facebook1,output084,,,0.5638797481854757,15.0,0.0512420119881181,11:09:39
facebook1,output085,-1.0,2.0,-0.1118002798822191,9.0,-0.0718892019212875,11:10:39
facebook1,output086,-1.0,6.0,-0.0874266624450683,9.0,0.1683780339859088,11:11:39
facebook1,output087,-0.75,8.0,-0.4438466370105743,10.0,0.1076579763928329,11:12:39
